Name,Birth,Death,Covid,Created
Richard Allen (Canadian politician),1929-02-10,2019-03-05,False,2005-03-24
William T. Allen,1948-04-19,2019-10-13,False,2011-07-21
Urbano José Allgayer,1924-03-16,2019-05-14,False,2011-09-15
Rovshan Almuradly,1954-04-19,2019-04-02,False,2019-04-04
Alicia Alonso,1920-12-21,2019-10-17,False,2005-10-10
Chelo Alonso,1933-04-10,2019-02-20,False,2007-09-30
Abul Khayr Alonto,1945-10-30,2019-05-09,False,2016-09-20
Altair Gomes de Figueiredo,1938-01-22,2019-08-09,False,2005-01-07
Carlos Altamirano,1922-12-18,2019-05-19,False,2006-05-09
Vicente Álvarez Areces,1943-08-04,2019-01-17,False,2004-05-29
Enrique Álvarez Conde,1952-04-19,2019-04-01,False,2019-04-30
Humberto Álvarez,1929-06-13,2019-06-09,False,2019-06-10
Terese Alvén,1982-06-05,2019-06-11,False,2020-03-27
Bethel Nnaemeka Amadi,1964-04-25,2019-02-10,False,2015-03-01
Reinhold Aman,1936-04-08,2019-03-02,False,2005-07-27
Urs Amann,1951-05-25,2019-05-07,False,2011-11-10
Yukiya Amano,1947-05-09,2019-07-18,False,2008-09-26
Miklós Ambrus,1933-05-31,2019-08-03,False,2012-05-15
Nicholas Amer,1923-04-19,2019-11-17,False,2012-04-16
Steven H. Amick,1947-05-13,2019-01-23,False,2018-06-26
Joseph Amlong,1936-12-17,2019-07-01,False,2008-12-10
Alene S. Ammond,1933-04-06,2019-06-04,False,2016-11-16
Suresh Gundu Amonkar,1935-04-19,2019-12-08,False,2016-02-20
Paulo Henrique Amorim,1942-02-22,2019-07-10,False,2010-01-17
Kurt Amplatz,1924-02-25,2019-11-06,False,2009-02-10
An Zuozhang,1927-01-10,2019-02-20,False,2019-02-24
Bill Anagnos,1958-08-19,2019-01-15,False,2019-01-17
Anandavally,1969-04-19,2019-04-05,False,2013-08-23
Themos Anastasiadis,1958-01-01,2019-01-22,False,2006-02-21
Georgios Anastassopoulos,1935-04-19,2019-07-12,False,2009-03-27
Era. Anbarasu,1940-10-20,2019-08-08,False,2009-11-12
Andaiye,1942-04-19,2019-05-31,False,2019-06-01
Mads H. Andenæs,1940-04-22,2019-05-12,False,2010-01-04
Frederick Andermann,1930-04-19,2019-06-16,False,2006-07-30
Børge Kaas Andersen,1937-04-26,2019-12-16,False,2018-08-12
Knut Andersen,1931-05-09,2019-06-17,False,2012-02-21
LaDell Andersen,1929-10-25,2019-12-29,False,2007-04-04
Andrew Anderson (basketball),1945-07-06,2019-06-17,False,2007-08-27
Andy Anderson (drummer),1951-01-30,2019-02-26,False,2005-10-30
Dennis Anderson (politician),1949-08-16,2019-03-20,False,2008-05-04
Edna Anderson,1922-11-09,2019-07-07,False,2006-12-10
Harlan Anderson,1929-10-15,2019-01-30,False,2006-04-27
Quentin V. Anderson,1932-05-07,2019-12-27,False,2015-01-02
Ralph Anderson (politician),1927-11-02,2019-11-30,False,2007-09-15
Ruth Anderson (composer),1928-03-21,2019-11-29,False,2005-12-14
Claes Andersson,1937-05-30,2019-07-24,False,2009-04-08
Patxi Andión,1947-10-06,2019-12-18,False,2007-06-17
Jo Andres,1954-04-19,2019-01-06,False,2006-07-25
Thomas Andretta,1938-01-01,2019-01-25,False,2019-01-24
José Andreu García,1937-04-19,2019-01-10,False,2006-09-13
Frans Andriessen,1929-04-02,2019-03-22,False,2005-06-23
Koos Andriessen,1928-07-25,2019-01-22,False,2009-07-21
Anémone,1950-08-09,2019-04-30,False,2009-08-24
Henry Athukorale,1930-11-30,2019-12-21,False,2019-07-25
Norm Angelini,1947-04-19,2019-12-21,False,2009-03-08
Stefan Angelov,1947-01-07,2019-12-21,False,2012-06-14
Salvatore Angerami,1956-11-26,2019-07-07,False,2016-12-08
Hans Ankum,1930-07-23,2019-06-03,False,2015-08-17
Lev Anninsky,1934-04-07,2019-11-06,False,2012-03-28
Zdzisław Antczak,1947-11-20,2019-02-28,False,2007-08-10
Prince Antoine of Bourbon-Two Sicilies,1929-01-20,2019-11-11,False,2009-07-28
Dario Antoniozzi,1923-12-11,2019-12-25,False,2016-12-27
Omero Antonutti,1935-08-03,2019-11-05,False,2006-11-22
Anuar Abu Bakar,1971-04-28,2019-05-06,False,2013-06-14
Andrey Anufriyenko,1970-11-26,2019-03-06,False,2019-11-05
Subby Anzaldo,1933-08-03,2019-08-07,False,2007-03-12
Atsushi Aoki,1977-04-19,2019-06-03,False,2010-05-26
Ricardo de Aparici,1940-06-23,2019-12-19,False,2019-12-22
Stan Applebaum,1922-03-01,2019-02-23,False,2019-12-20
